latitude,longitude,Country
58.595272,25.013607,Estonia
9.145,40.489673,Ethiopia
-51.796253,-59.523613,Falkland Islands [Islas Malvinas]
61.892635,-6.911806,Faroe Islands
-16.578193,179.414413,Fiji
61.92411,25.748151,Finland
46.227638,2.213749,France
3.933889,-53.125782,French Guiana
-17.679742,-149.40684299999995,French Polynesia
-49.280366,69.348557,French Southern Territories
-0.803689,11.609444,Gabon
13.443182,-15.310139,Gambia
31.354676,34.308825,Gaza Strip
42.315407,43.356892,Georgia
51.165691,10.451526,Germany
7.9465270000000015,-1.0231940000000002,Ghana
36.137741,-5.345374,Gibraltar
39.074208,21.824312,Greece
71.706936,-42.604303,Greenland
12.262776,-61.604171,Grenada
16.995971,-62.067641,Guadeloupe
13.444304,144.793731,Guam
15.783471,-90.230759,Guatemala
49.465691,-2.585278,Guernsey
9.945587,-9.696645,Guinea
11.803749,-15.180413,Guinea-Bissau
4.860416000000002,-58.93018000000001,Guyana
18.971187,-72.28521500000002,Haiti
-53.08181,73.50415799999998,Heard Island and McDonald Islands
15.199998999999998,-86.241905,Honduras
22.396428,114.109497,Hong Kong
47.162494,19.503304,Hungary
64.96305100000001,-19.020835,Iceland
20.593684,78.96288,India
-0.789275,113.921327,Indonesia
32.427908,53.68804599999999,Iran
33.223191,43.679291,Iraq
53.41291,-8.243889999999999,Ireland
54.236107,-4.548056,Isle of Man
31.046051,34.851612,Israel
41.87194,12.56738,Italy
18.109581,-77.297508,Jamaica
36.204824,138.252924,Japan
49.214439,-2.13125,Jersey
30.585164,36.238414,Jordan
48.019573,66.923684,Kazakhstan
-0.023559,37.906193,Kenya
-3.370417,-168.734039,Kiribati
42.602636,20.902977,Kosovo
29.31166,47.481766,Kuwait
41.20438,74.766098,Kyrgyzstan
19.85627,102.495496,Laos
56.879635,24.603189,Latvia
33.854721000000005,35.862285,Lebanon
-29.609988,28.233608,Lesotho
6.4280550000000005,-9.429499,Liberia
26.3351,17.228331,Libya
47.166,9.555373,Liechtenstein
55.169438,23.881275,Lithuania
49.815273,6.129583,Luxembourg
22.198745,113.543873,Macau
41.608635,21.745275,Macedonia [FYROM]
-18.766947,46.869107,Madagascar
-13.254307999999998,34.301525,Malawi
4.210483999999999,101.975766,Malaysia
3.202778,73.22068,Maldives
17.570692,-3.996166000000001,Mali
35.937496,14.375416,Malta
7.131474000000001,171.184478,Marshall Islands
14.641528,-61.024174,Martinique
21.00789,-10.940835,Mauritania
-20.348404,57.552152,Mauritius
-12.8275,45.166244,Mayotte
23.634501,-102.552784,Mexico
7.425553999999999,150.550812,Micronesia
47.411631,28.369885,Moldova
43.750298,7.412841,Monaco
46.862496,103.846656,Mongolia
42.708678000000006,19.37439,Montenegro
16.742498,-62.187366,Montserrat
31.791702,-7.09262,Morocco
-18.665695,35.529562,Mozambique
21.913965,95.956223,Myanmar [Burma]
-22.95764,18.49041,Namibia
-0.522778,166.931503,Nauru
28.394857,84.12400799999998,Nepal
52.132633,5.291266,Netherlands
12.226079,-69.060087,Netherlands Antilles
-20.904305,165.618042,New Caledonia
-40.900557,174.88597099999996,New Zealand
12.865416,-85.207229,Nicaragua
17.607789,8.081666,Niger
9.081999,8.675277000000001,Nigeria
-19.054445,-169.867233,Niue
-29.040835,167.954712,Norfolk Island
40.339852,127.510093,North Korea
17.33083,145.38468999999995,Northern Mariana Islands
60.472024,8.468946,Norway
21.512583,55.92325500000001,Oman
30.375321000000003,69.345116,Pakistan
7.51498,134.58252,Palau
31.952162,35.233154,Palestinian Territories
8.537981,-80.782127,Panama
-6.314993,143.95555,Papua New Guinea
-23.442503,-58.44383199999999,Paraguay
-9.189967,-75.015152,Peru
12.879721,121.774017,Philippines
-24.703615,-127.439308,Pitcairn Islands
51.919438,19.145136,Poland
39.399872,-8.224454,Portugal
18.220833,-66.590149,Puerto Rico
25.354826,51.183884,Qatar
45.943161,24.96676,Romania
61.52401,105.318756,Russia
-1.940278,29.873888,Rwanda
-21.115141,55.536384,Réunion
-24.143474,-10.030696,Saint Helena
17.357822,-62.782998,Saint Kitts and Nevis
13.909444,-60.97889300000001,Saint Lucia
46.941936,-56.27111,Saint Pierre and Miquelon
12.984305,-61.287228000000006,Saint Vincent and the Grenadines
-13.759029,-172.10462900000005,Samoa
43.94236,12.457777,San Marino
23.885942,45.079162,Saudi Arabia
14.497401000000002,-14.452362,Senegal
44.016521,21.005859,Serbia
-4.679574,55.491977,Seychelles
8.460555000000001,-11.779889,Sierra Leone
1.352083,103.819836,Singapore
48.669026,19.699024,Slovakia
46.151241,14.995463,Slovenia
-9.64571,160.156194,Solomon Islands
5.152149,46.199616,Somalia
-30.559482,22.937506,South Africa
-54.429579,-36.587909,South Georgia and the South Sandwich Islands
35.90775700000001,127.766922,South Korea
40.463667,-3.74922,Spain
7.873054,80.77179699999998,Sri Lanka
12.862807,30.217636,Sudan
3.919305000000001,-56.02778299999999,Suriname
77.553604,23.670272,Svalbard and Jan Mayen
-26.522503000000004,31.465866,Swaziland
60.128161,18.643501,Sweden
46.818188,8.227511999999999,Switzerland
34.802075,38.99681500000001,Syria
0.18636,6.613081,São Tomé and Príncipe
23.69781,120.960515,Taiwan
38.861034,71.276093,Tajikistan
-6.369028,34.888822,Tanzania
15.870032,100.992541,Thailand
-8.874217,125.727539,Timor-Leste
8.619543,0.824782,Togo
-8.967363,-171.855881,Tokelau
-21.178986,-175.198242,Tonga
10.691803,-61.222503,Trinidad and Tobago
33.886917,9.537499,Tunisia
38.963745,35.243322,Turkey
38.969719,59.556278000000006,Turkmenistan
21.694025,-71.797928,Turks and Caicos Islands
-7.109535,177.64933,Tuvalu
18.335765,-64.896335,United States Virgin Islands
1.373333,32.290275,Uganda
48.379433,31.16558,Ukraine
23.424076,53.847818,United Arab Emirates
55.378051,-3.435973,United Kingdom
37.09024,-95.712891,United States of America
-32.522779,-55.765835,Uruguay
41.377491,64.585262,Uzbekistan
-15.376706,166.959158,Vanuatu
41.902916,12.453389,Vatican City
6.42375,-66.58973,Venezuela
14.058324,108.277199,Vietnam
-13.768752,-177.156097,Wallis and Futuna
24.215527,-12.885834,Western Sahara
15.552727,48.516388,Yemen
-13.133897,27.849332,Zambia
-19.015438,29.154857,Zimbabwe
